Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Tissue specificity	PDB	Subcellular location [CC]	Transmembrane
P06702	reviewed	S10A9_HUMAN	Protein S100-A9 (Calgranulin-B) (Calprotectin L1H subunit) (Leukocyte L1 complex heavy chain) (Migration inhibitory factor-related protein 14) (MRP-14) (p14) (S100 calcium-binding protein A9)	S100A9 CAGB CFAG MRP14	Homo sapiens (Human)	114	TISSUE SPECIFICITY: Calprotectin (S100A8/9) is predominantly expressed in myeloid cells. Except for inflammatory conditions, the expression is restricted to a specific stage of myeloid differentiation since both proteins are expressed in circulating neutrophils and monocytes but are absent in normal tissue macrophages and lymphocytes. Under chronic inflammatory conditions, such as psoriasis and malignant disorders, also expressed in the epidermis. Found in high concentrations at local sites of inflammation or in the serum of patients with inflammatory diseases such as rheumatoid, cystic fibrosis, inflammatory bowel disease, Crohn's disease, giant cell arteritis, cystic fibrosis, Sjogren's syndrome, systemic lupus erythematosus, and progressive systemic sclerosis. Involved in the formation and deposition of amyloids in the aging prostate known as corpora amylacea inclusions. Strongly up-regulated in many tumors, including gastric, esophageal, colon, pancreatic, bladder, ovarian, thyroid, breast and skin cancers. {ECO:0000269|PubMed:15598812, ECO:0000269|PubMed:3313057, ECO:0000269|PubMed:3405210, ECO:0000269|PubMed:8423249, ECO:0000269|PubMed:9083090}.	1IRJ;1XK4;4GGF;4XJK;5I8N;5W1F;6DS2;7QUV;7UI5;8SJB;8SJC;	SUBCELLULAR LOCATION: Secreted. Cytoplasm {ECO:0000269|PubMed:15598812, ECO:0000269|PubMed:8423249}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:22489132, ECO:0000269|PubMed:9083090}. Cell membrane {ECO:0000269|PubMed:18786929}; Peripheral membrane protein {ECO:0000305|PubMed:18786929}. Note=Predominantly localized in the cytoplasm. Upon elevation of the intracellular calcium level, translocated from the cytoplasm to the cytoskeleton and the cell membrane (PubMed:18786929). Upon neutrophil activation or endothelial adhesion of monocytes, is secreted via a microtubule-mediated, alternative pathway (PubMed:15598812). {ECO:0000269|PubMed:15598812, ECO:0000269|PubMed:18786929}.	
P07476	reviewed	INVO_HUMAN	Involucrin	IVL	Homo sapiens (Human)	585	TISSUE SPECIFICITY: Keratinocytes of epidermis and other stratified squamous epithelia.		SUBCELLULAR LOCATION: Cytoplasm. Note=Constituent of the scaffolding of the cornified envelope.	
P07858	reviewed	CATB_HUMAN	Cathepsin B (EC 3.4.22.1) (APP secretase) (APPS) (Cathepsin B1) [Cleaved into: Cathepsin B light chain; Cathepsin B heavy chain]	CTSB CPSB	Homo sapiens (Human)	339	TISSUE SPECIFICITY: Expressed in the stratum spinosum of the epidermis. Weak expression is detected in the stratum granulosum. {ECO:0000269|PubMed:28457472}.	1CSB;1GMY;1HUC;1PBH;2IPP;2PBH;3AI8;3CBJ;3CBK;3K9M;3PBH;5MBL;5MBM;6AY2;8B4T;8B5F;8HE9;8HEI;8HEN;	SUBCELLULAR LOCATION: Lysosome {ECO:0000269|PubMed:16733801}. Melanosome {ECO:0000269|PubMed:17081065}. Secreted, extracellular space {ECO:0000250|UniProtKB:A1E295}. Apical cell membrane {ECO:0000250|UniProtKB:P10605}; Peripheral membrane protein {ECO:0000250|UniProtKB:P10605}; Extracellular side {ECO:0000250|UniProtKB:P10605}. Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV (PubMed:17081065). Localizes to the lumen of thyroid follicles and to the apical membrane of thyroid epithelial cells (By similarity). {ECO:0000250|UniProtKB:P10605, ECO:0000269|PubMed:17081065}.	
P07947	reviewed	YES_HUMAN	Tyrosine-protein kinase Yes (EC 2.7.10.2) (Proto-oncogene c-Yes) (p61-Yes)	YES1 YES	Homo sapiens (Human)	543	TISSUE SPECIFICITY: Expressed in the epithelial cells of renal proximal tubules and stomach as well as hematopoietic cells in the bone marrow and spleen in the fetal tissues. In adult, expressed in epithelial cells of the renal proximal tubules and present in keratinocytes in the basal epidermal layer of epidermis. {ECO:0000269|PubMed:2021534, ECO:0000269|PubMed:2067846}.	2HDA;	SUBCELLULAR LOCATION: Cell membrane. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome. Cytoplasm, cytosol. Cell junction {ECO:0000250|UniProtKB:Q28923}. Note=Newly synthesized protein initially accumulates in the Golgi region and traffics to the plasma membrane through the exocytic pathway. Localized to small puncta throughout the cytoplasm and cell membrane when in the presence of SNAIL1 (By similarity). {ECO:0000250|UniProtKB:Q28923}.	
P08235	reviewed	MCR_HUMAN	Mineralocorticoid receptor (MR) (Nuclear receptor subfamily 3 group C member 2)	NR3C2 MCR MLR	Homo sapiens (Human)	984	TISSUE SPECIFICITY: Ubiquitous. Highly expressed in distal tubules, convoluted tubules and cortical collecting duct in kidney, and in sweat glands. Detected at lower levels in cardiomyocytes, in epidermis and in colon enterocytes. {ECO:0000269|PubMed:11518808, ECO:0000269|PubMed:9141514}.	1Y9R;1YA3;2A3I;2AA2;2AA5;2AA6;2AA7;2AAX;2AB2;2ABI;2OAX;3VHU;3VHV;3WFF;3WFG;4PF3;4TNT;4UDA;4UDB;5HCV;5L7E;5L7G;5L7H;5MWP;5MWY;6GEV;6GG8;6GGG;6L88;	SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Endoplasmic reticulum membrane; Peripheral membrane protein. Note=Cytoplasmic and nuclear in the absence of ligand; nuclear after ligand-binding. When bound to HSD11B2, it is found associated with the endoplasmic reticulum membrane.	
P08253	reviewed	MMP2_HUMAN	72 kDa type IV collagenase (EC 3.4.24.24) (72 kDa gelatinase) (Gelatinase A) (Matrix metalloproteinase-2) (MMP-2) (TBE-1) [Cleaved into: PEX]	MMP2 CLG4A	Homo sapiens (Human)	660	TISSUE SPECIFICITY: Produced by normal skin fibroblasts. PEX is expressed in a number of tumors including gliomas, breast and prostate. {ECO:0000269|PubMed:11751392}.	1CK7;1CXW;1EAK;1GEN;1GXD;1HOV;1J7M;1KS0;1QIB;1RTG;3AYU;7XGJ;7XJO;8H78;	SUBCELLULAR LOCATION: [Isoform 1]: Secreted, extracellular space, extracellular matrix {ECO:0000305|PubMed:2834383}. Membrane. Nucleus. Note=Colocalizes with integrin alphaV/beta3 at the membrane surface in angiogenic blood vessels and melanomas. Found in mitochondria, along microfibrils, and in nuclei of cardiomyocytes.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm. Mitochondrion.	
P08581	reviewed	MET_HUMAN	Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)	MET	Homo sapiens (Human)	1390	TISSUE SPECIFICITY: Expressed in normal hepatocytes as well as in epithelial cells lining the stomach, the small and the large intestine. Found also in basal keratinocytes of esophagus and skin. High levels are found in liver, gastrointestinal tract, thyroid and kidney. Also present in the brain. Expressed in metaphyseal bone (at protein level) (PubMed:26637977). {ECO:0000269|PubMed:1719465, ECO:0000269|PubMed:1917129, ECO:0000269|PubMed:26637977}.	1FYR;1R0P;1R1W;1SHY;1SSL;2G15;2RFN;2RFS;2UZX;2UZY;2WD1;2WGJ;2WKM;3A4P;3BUX;3C1X;3CCN;3CD8;3CE3;3CTH;3CTJ;3DKC;3DKF;3DKG;3EFJ;3EFK;3F66;3F82;3I5N;3L8V;3LQ8;3Q6U;3Q6W;3QTI;3R7O;3RHK;3U6H;3U6I;3VW8;3ZBX;3ZC5;3ZCL;3ZXZ;3ZZE;4AOI;4AP7;4DEG;4DEH;4DEI;4EEV;4GG5;4GG7;4IWD;4K3J;4KNB;4MXC;4O3T;4O3U;4R1V;4R1Y;4XMO;4XYF;5DG5;5EOB;5EYC;5EYD;5HLW;5HNI;5HO6;5HOA;5HOR;5HTI;5LSP;5T3Q;5UAB;5UAD;5YA5;6GCU;6I04;6SD9;6SDC;6SDD;6SDE;6UBW;6WVZ;7B3Q;7B3T;7B3V;7B3W;7B3Z;7B40;7B41;7B42;7B43;7B44;7MO7;7MO8;7MO9;7MOA;7MOB;7V3R;7V3S;7Y4T;7Y4U;8AN8;8ANS;8AU3;8AU5;8AW1;8GVJ;8K78;8OUU;8OUV;8OV7;8OVZ;8OW3;8OWG;9C1R;	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted.	TRANSMEM 933..955; /note="Helical"; /evidence="ECO:0000255"
P08727	reviewed	K1C19_HUMAN	Keratin, type I cytoskeletal 19 (Cytokeratin-19) (CK-19) (Keratin-19) (K19)	KRT19	Homo sapiens (Human)	400	TISSUE SPECIFICITY: Expressed in a defined zone of basal keratinocytes in the deep outer root sheath of hair follicles. Also observed in sweat gland and mammary gland ductal and secretory cells, bile ducts, gastrointestinal tract, bladder urothelium, oral epithelia, esophagus, ectocervical epithelium (at protein level). Expressed in epidermal basal cells, in nipple epidermis and a defined region of the hair follicle. Also seen in a subset of vascular wall cells in both the veins and artery of human umbilical cord, and in umbilical cord vascular smooth muscle. Observed in muscle fibers accumulating in the costameres of myoplasm at the sarcolemma in structures that contain dystrophin and spectrin. {ECO:0000269|PubMed:16000376, ECO:0000269|PubMed:2468493, ECO:0000269|PubMed:2469734}.	8ZUG;		
P0DP57	reviewed	SLUR2_HUMAN	Secreted Ly-6/uPAR domain-containing protein 2 (Secreted LY6/PLAUR domain-containing protein 2) (Secreted Ly-6/uPAR-related protein 2) (SLURP-2)	SLURP2	Homo sapiens (Human)	97	TISSUE SPECIFICITY: Expressed at highest levels in cervix and esophagus, followed by adult and fetal skin. Expressed at lower levels in brain, lung, stomach, small intestine, colon, rectum, uterus, and thymus. Not detected in spleen nor bone marrow. Up-regulated 3-fold in psoriatic lesional skin (PubMed:12573258). In the epidermis, predominantly produced by keratinocytes of the suprabasal epidermal compartment (at protein level) (PubMed:16575903). In attached gingiva, produced at highest levels by basal cells located in the lowermost epithelial layers (at protein level) (PubMed:16575903). Detected in serum (at protein level) (PubMed:16575903). {ECO:0000269|PubMed:12573258, ECO:0000269|PubMed:16575903}.	2N99;	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:16575903}.	
P11388	reviewed	TOP2A_HUMAN	DNA topoisomerase 2-alpha (EC 5.6.2.2) (DNA topoisomerase II, alpha isozyme)	TOP2A TOP2	Homo sapiens (Human)	1531	TISSUE SPECIFICITY: Expressed in the tonsil, spleen, lymph node, thymus, skin, pancreas, testis, colon, kidney, liver, brain and lung (PubMed:9155056). Also found in high-grade lymphomas, squamous cell lung tumors and seminomas (PubMed:9155056). {ECO:0000269|PubMed:9155056}.	1ZXM;1ZXN;4FM9;4R1F;5GWK;5NNE;6ZY5;6ZY6;6ZY7;6ZY8;8W50;	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:9155056}. Nucleus, nucleoplasm {ECO:0000269|PubMed:8299728}. Nucleus {ECO:0000269|PubMed:17567603, ECO:0000269|PubMed:22013166, ECO:0000269|PubMed:8299728, ECO:0000269|PubMed:9155056}. Nucleus, nucleolus {ECO:0000269|PubMed:9155056}.	
P11511	reviewed	CP19A_HUMAN	Aromatase (EC 1.14.14.14) (CYPXIX) (Cytochrome P-450AROM) (Cytochrome P450 19A1) (Estrogen synthase)	CYP19A1 ARO1 CYAR CYP19	Homo sapiens (Human)	503	TISSUE SPECIFICITY: Widely expressed, including in adult and fetal brain, placenta, skin fibroblasts, adipose tissue and gonads. {ECO:0000269|PubMed:2040633, ECO:0000269|PubMed:3018730, ECO:0000269|PubMed:7690033, ECO:0000269|PubMed:8117272}.	3EQM;3S79;3S7S;4GL5;4GL7;4KQ8;5JKV;5JKW;5JL6;5JL7;5JL9;	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:2973313}; Multi-pass membrane protein {ECO:0000305}. Microsome membrane {ECO:0000269|PubMed:2973313}; Multi-pass membrane protein {ECO:0000305}.	TRANSMEM 19..39; /note="Helical"; /evidence="ECO:0000255"; TRANSMEM 303..323; /note="Helical"; /evidence="ECO:0000255"
P12270	reviewed	TPR_HUMAN	Nucleoprotein TPR (Megator) (NPC-associated intranuclear protein) (Translocated promoter region protein)	TPR	Homo sapiens (Human)	2363	TISSUE SPECIFICITY: Expressed in esophagus, ovary, liver, skin, smooth muscles, cerebrum and fetal cerebellum (at protein level). Highest in testis, lung, thymus, spleen and brain, lower levels in heart, liver and kidney. {ECO:0000269|PubMed:12424524, ECO:0000269|PubMed:9024684}.	5TO5;5TO6;5TO7;5TVB;	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12802065}. Nucleus membrane {ECO:0000269|PubMed:11514627, ECO:0000269|PubMed:11952838, ECO:0000269|PubMed:18794356, ECO:0000269|PubMed:9024684, ECO:0000269|PubMed:9828100, ECO:0000269|PubMed:9864356}; Peripheral membrane protein {ECO:0000269|PubMed:11514627, ECO:0000269|PubMed:9024684, ECO:0000269|PubMed:9828100, ECO:0000269|PubMed:9864356}; Nucleoplasmic side {ECO:0000269|PubMed:11514627, ECO:0000269|PubMed:9024684, ECO:0000269|PubMed:9828100, ECO:0000269|PubMed:9864356}. Nucleus envelope {ECO:0000269|PubMed:12424524, ECO:0000269|PubMed:7798308}. Nucleus, nuclear pore complex {ECO:0000269|PubMed:11514627, ECO:0000269|PubMed:11839768, ECO:0000269|PubMed:12802065, ECO:0000269|PubMed:15229283, ECO:0000269|PubMed:18981471, ECO:0000269|PubMed:7798308, ECO:0000269|PubMed:9024684, ECO:0000269|PubMed:9828100, ECO:0000269|PubMed:9864356}. Cytoplasm {ECO:0000269|PubMed:11952838, ECO:0000269|PubMed:12802065}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:19273613}. Chromosome, centromere, kinetochore {ECO:0000269|PubMed:18981471}. Nucleus membrane {ECO:0000269|PubMed:12802065, ECO:0000269|PubMed:15229283, ECO:0000269|PubMed:7798308}; Peripheral membrane protein {ECO:0000269|PubMed:12802065, ECO:0000269|PubMed:15229283, ECO:0000269|PubMed:7798308}; Cytoplasmic side {ECO:0000269|PubMed:12802065, ECO:0000269|PubMed:15229283, ECO:0000269|PubMed:7798308}. Note=Detected as discrete intranuclear foci with IFI204 (By similarity). In interphase, localizes to the nucleoplasmic side of the nuclear pore complex (NPC) core structure, forming a fibrous structure called the nuclear basket (PubMed:34440706). Detected exclusively to the cytoplasmic margin of NPC (PubMed:7798308). Docking to the inner nucleoplasmic side of the NPC is mediated through binding to nucleoporins. Anchored by NUP153 to the NPC. The assembly of the NPC is a stepwise process in which Trp-containing peripheral structures assemble after other components, including p62. Detected as filaments that emanate from the nuclear basket of the NPC and extend to the nucleolus to delineate a chromatin-free network extending from the nuclear envelope to the perinucleolar region. Detected in diffuse and discrete spheroidal intranuclear foci. Nucleocytoplasmic shuttling protein imported into the nucleus in a XPO1/CRM1- and Importin alpha/Importin beta receptor-dependent manner. Remains localized to the nuclear membrane after poliovirus (PV) infection. During mitosis, remains associated with the nuclear envelope until prometaphase. Associated with the mitotic spindle from late prometaphase until anaphase. Reorganized during mitosis in a viscous and dynamic nuclear-derived spindle matrix that embeds the microtubule spindle apparatus from pole to pole in a microtubule-independent manner. Recruited to the reforming nuclear envelope during telophase and cytokinesis. Detected at kinetochores during prometaphase (PubMed:18981471). Colocalizes with MAD2L1 in the spindle matrix but not at kinetochore (PubMed:19273613). Colocalizes with dynein, dynactin, tubulin at kinetochore during the metaphase-anaphase transition. Colocalizes with DYNLL1 at the mitotic spindle. {ECO:0000250, ECO:0000269|PubMed:18981471, ECO:0000269|PubMed:19273613, ECO:0000269|PubMed:34440706, ECO:0000269|PubMed:7798308}.	
P12830	reviewed	CADH1_HUMAN	Cadherin-1 (CAM 120/80) (Epithelial cadherin) (E-cadherin) (Uvomorulin) (CD antigen CD324) [Cleaved into: E-Cad/CTF1; E-Cad/CTF2; E-Cad/CTF3]	CDH1 CDHE UVO	Homo sapiens (Human)	882	TISSUE SPECIFICITY: Expressed in granuloma macrophages (at protein level) (PubMed:27760340). Expressed in the skin (at protein level) (PubMed:22294297). Expressed in the liver (PubMed:3263290). {ECO:0000269|PubMed:22294297, ECO:0000269|PubMed:27760340, ECO:0000269|PubMed:3263290}.	1O6S;2O72;2OMT;2OMU;2OMV;2OMX;2OMY;2OMZ;3FF7;3FF8;3L6X;3L6Y;4ZT1;4ZTE;6CXY;6OLE;6OLF;6OLG;6VEL;7STZ;8H62;	SUBCELLULAR LOCATION: Cell junction, adherens junction {ECO:0000269|PubMed:18343367, ECO:0000269|PubMed:22294297, ECO:0000269|PubMed:27760340, ECO:0000269|PubMed:28169360}. Cell membrane {ECO:0000269|PubMed:19403558, ECO:0000269|PubMed:20859650, ECO:0000269|PubMed:28301459}; Single-pass type I membrane protein. Endosome {ECO:0000269|PubMed:15689490}. Golgi apparatus, trans-Golgi network {ECO:0000269|PubMed:15689490}. Cytoplasm {ECO:0000269|PubMed:22294297}. Cell junction, desmosome {ECO:0000269|PubMed:25208567, ECO:0000269|PubMed:29999492, ECO:0000269|PubMed:33596089}. Note=Colocalizes with DLGAP5 at sites of cell-cell contact in intestinal epithelial cells. Anchored to actin microfilaments through association with alpha-, beta- and gamma-catenin. Sequential proteolysis induced by apoptosis or calcium influx, results in translocation from sites of cell-cell contact to the cytoplasm. Colocalizes with RAB11A endosomes during its transport from the Golgi apparatus to the plasma membrane. Recruited to desmosomes at the initial assembly phase and also accumulates progressively at mature desmosome cell-cell junctions (PubMed:25208567, PubMed:29999492). Localizes to cell-cell contacts as keratinocyte differentiation progresses (By similarity). {ECO:0000250|UniProtKB:P09803, ECO:0000269|PubMed:25208567, ECO:0000269|PubMed:29999492}.	TRANSMEM 710..730; /note="Helical"; /evidence="ECO:0000255"
P12931	reviewed	SRC_HUMAN	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	SRC SRC1	Homo sapiens (Human)	536	TISSUE SPECIFICITY: Expressed ubiquitously. Expressed in the skin (at protein level) (PubMed:22294297). Platelets, neurons and osteoclasts express 5-fold to 200-fold higher levels than most other tissues. {ECO:0000269|PubMed:22294297}.; TISSUE SPECIFICITY: [Isoform 1]: Expressed in spleen and liver. {ECO:0000269|PubMed:8319227}.; TISSUE SPECIFICITY: [Isoform 2]: Expressed in brain. {ECO:0000269|PubMed:8319227}.; TISSUE SPECIFICITY: [Isoform 3]: Expressed in brain. {ECO:0000269|PubMed:8319227}.	1A07;1A08;1A09;1A1A;1A1B;1A1C;1A1E;1FMK;1HCS;1HCT;1KSW;1O41;1O42;1O43;1O44;1O45;1O46;1O47;1O48;1O49;1O4A;1O4B;1O4C;1O4D;1O4E;1O4F;1O4G;1O4H;1O4I;1O4J;1O4K;1O4L;1O4M;1O4N;1O4O;1O4P;1O4Q;1O4R;1SHD;1Y57;1YI6;1YOJ;1YOL;1YOM;2BDF;2BDJ;2H8H;2SRC;3VRO;3ZMP;3ZMQ;4F59;4F5A;4F5B;4HXJ;4K11;4MXO;4MXX;4MXY;4MXZ;6ATE;6C4S;6E6E;6EHJ;7NG7;7OTE;7T1U;7YQE;8GWH;8HAQ;8JF3;8JN8;8JN9;	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:7525268}; Lipid-anchor {ECO:0000269|PubMed:22801373}. Mitochondrion inner membrane {ECO:0000269|PubMed:12615910}. Nucleus {ECO:0000269|PubMed:7853507}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:7525268}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:19307596}. Cell junction, focal adhesion {ECO:0000269|PubMed:22801373}. Cell junction {ECO:0000269|PubMed:22294297}. Note=Localizes to focal adhesion sites following integrin engagement (PubMed:22801373). Localization to focal adhesion sites requires myristoylation and the SH3 domain (PubMed:7525268). Colocalizes with PDLIM4 at the perinuclear region, but not at focal adhesions (PubMed:19307596). {ECO:0000269|PubMed:19307596, ECO:0000269|PubMed:22801373, ECO:0000269|PubMed:7525268}.	
P14060	reviewed	3BHS1_HUMAN	3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1 (3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type I) (3-beta-HSD I) (3-beta-hydroxy-5-ene steroid dehydrogenase) (3-beta-hydroxy-Delta(5)-steroid dehydrogenase) (EC 1.1.1.145) (3-beta-hydroxysteroid 3-dehydrogenase) (EC 1.1.1.270) (Delta-5-3-ketosteroid isomerase) (Dihydrotestosterone oxidoreductase) (EC 1.1.1.210) (Steroid Delta-isomerase) (EC 5.3.3.1) (Trophoblast antigen FDO161G)	HSD3B1 3BH HSDB3A	Homo sapiens (Human)	373	TISSUE SPECIFICITY: Placenta and skin (PubMed:1401999). Predominantly expressed in mammary gland tissue. {ECO:0000269|PubMed:1401999}.		SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Single-pass membrane protein. Mitochondrion membrane; Single-pass membrane protein.	TRANSMEM 288..308; /note="Helical"; /evidence="ECO:0000255"
P14091	reviewed	CATE_HUMAN	Cathepsin E (EC 3.4.23.34) [Cleaved into: Cathepsin E form I; Cathepsin E form II]	CTSE	Homo sapiens (Human)	396	TISSUE SPECIFICITY: Expressed abundantly in the stomach, the Clara cells of the lung and activated B-lymphocytes, and at lower levels in lymph nodes, skin and spleen. Not expressed in resting B-lymphocytes. {ECO:0000269|PubMed:11322887, ECO:0000269|PubMed:1370478, ECO:0000269|PubMed:8765029}.	1TZS;	SUBCELLULAR LOCATION: Endosome {ECO:0000269|PubMed:7983070}. Note=The proenzyme is localized to the endoplasmic reticulum and Golgi apparatus, while the mature enzyme is localized to the endosome.	
P15309	reviewed	PPAP_HUMAN	Prostatic acid phosphatase (PAP) (EC 3.1.3.2) (5'-nucleotidase) (5'-NT) (EC 3.1.3.5) (Acid phosphatase 3) (Ecto-5'-nucleotidase) (Protein tyrosine phosphatase ACP3) (EC 3.1.3.48) (Thiamine monophosphatase) (TMPase) [Cleaved into: PAPf39]	ACP3 ACPP	Homo sapiens (Human)	386	TISSUE SPECIFICITY: Highly expressed in the prostate, restricted to glandular and ductal epithelial cells. Also expressed in bladder, kidney, pancreas, lung, cervix, testis and ovary. Weak expression in a subset of pancreatic islet cells, squamous epithelia, the pilosebaceous unit, colonic neuroendocrine cells and skin adnexal structures. Low expression in prostate carcinoma cells and tissues. {ECO:0000269|PubMed:17638863, ECO:0000269|PubMed:21487525}.; TISSUE SPECIFICITY: [Isoform 2]: Widely expressed. Expressed in the sarcolemma of skeletal muscle. {ECO:0000269|PubMed:17638863}.	1CVI;1ND5;1ND6;2HPA;2L3H;2L77;2L79;2MG0;3PPD;7ZZV;8XJ4;	SUBCELLULAR LOCATION: [Isoform 1]: Secreted {ECO:0000305|PubMed:17638863}.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane {ECO:0000269|PubMed:17638863, ECO:0000269|PubMed:17897319, ECO:0000269|PubMed:20498373}; Single-pass type I membrane protein {ECO:0000255}. Lysosome membrane {ECO:0000269|PubMed:17638863, ECO:0000269|PubMed:17897319}; Single-pass type I membrane protein {ECO:0000255}. Nucleus {ECO:0000269|PubMed:20498373}. Cytoplasm, cytosol {ECO:0000269|PubMed:20498373}. Note=Appears to shuttle between the cell membrane and intracellular vesicles. Colocalizes with FLOT1 at cell membrane and in intracellular vesicles (PubMed:17638863). Colocalizes with LAMP2 on the lysosome membrane (PubMed:17897319). {ECO:0000269|PubMed:17638863, ECO:0000269|PubMed:17897319}.	
P15502	reviewed	ELN_HUMAN	Elastin (Tropoelastin)	ELN	Homo sapiens (Human)	786	TISSUE SPECIFICITY: Expressed within the outer myometrial smooth muscle and throughout the arteriolar tree of uterus (at protein level). Also expressed in the large arteries, lung and skin. {ECO:0000269|PubMed:8812460}.		SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:17035250}. Note=Extracellular matrix of elastic fibers. {ECO:0000269|PubMed:17035250}.	
P16144	reviewed	ITB4_HUMAN	Integrin beta-4 (GP150) (CD antigen CD104)	ITGB4	Homo sapiens (Human)	1822	TISSUE SPECIFICITY: Integrin alpha-6/beta-4 is predominantly expressed by epithelia. Isoform beta-4D is also expressed in colon and placenta. Isoform beta-4E is also expressed in epidermis, lung, duodenum, heart, spleen and stomach.	1QG3;2YRZ;3F7P;3F7Q;3F7R;3FQ4;3FSO;3H6A;4Q58;4WTW;4WTX;6GVK;6GVL;	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein. Cell membrane; Lipid-anchor. Cell junction, hemidesmosome. Note=Colocalizes with DST at the leading edge of migrating keratinocytes.	TRANSMEM 711..733; /note="Helical"; /evidence="ECO:0000255"
P16615	reviewed	AT2A2_HUMAN	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 (SERCA2) (SR Ca(2+)-ATPase 2) (EC 7.2.2.10) (Calcium pump 2) (Calcium-transporting ATPase sarcoplasmic reticulum type, slow twitch skeletal muscle isoform) (Endoplasmic reticulum class 1/2 Ca(2+) ATPase)	ATP2A2 ATP2B	Homo sapiens (Human)	1042	TISSUE SPECIFICITY: Isoform 1 is widely expressed in smooth muscle and nonmuscle tissues such as in adult skin epidermis, with highest expression in liver, pancreas and lung, and intermediate expression in brain, kidney and placenta. Also expressed at lower levels in heart and skeletal muscle. Isoforms 2 and 3 are highly expressed in the heart and slow twitch skeletal muscle. Expression of isoform 3 is predominantly restricted to cardiomyocytes and in close proximity to the sarcolemma. Both isoforms are mildly expressed in lung, kidney, liver, pancreas and placenta. Expression of isoform 3 is amplified during monocytic differentiation and also observed in the fetal heart. {ECO:0000269|PubMed:10441324, ECO:0000269|PubMed:12659872, ECO:0000269|PubMed:16402920}.	5ZTF;6JJU;6LLE;6LLY;6LN5;6LN6;6LN7;6LN8;6LN9;7BT2;7E7S;7W7T;7W7U;7W7V;7W7W;	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:O55143}; Multi-pass membrane protein {ECO:0000255}. Sarcoplasmic reticulum membrane {ECO:0000269|PubMed:12804600}; Multi-pass membrane protein {ECO:0000255}. Note=Colocalizes with FLVCR2 at the mitochondrial-ER contact junction. {ECO:0000250|UniProtKB:O55143}.	TRANSMEM 49..69; /note="Helical; Name=1"; /evidence="ECO:0000250|UniProtKB:P04191"; TRANSMEM 90..110; /note="Helical; Name=2"; /evidence="ECO:0000250|UniProtKB:P04191"; TRANSMEM 254..273; /note="Helical; Name=3"; /evidence="ECO:0000250|UniProtKB:P04191"; TRANSMEM 296..313; /note="Helical; Name=4"; /evidence="ECO:0000250|UniProtKB:P04191"; TRANSMEM 757..776; /note="Helical; Name=5"; /evidence="ECO:0000250|UniProtKB:P04191"; TRANSMEM 787..807; /note="Helical; Name=6"; /evidence="ECO:0000250|UniProtKB:P04191"; TRANSMEM 828..850; /note="Helical; Name=7"; /evidence="ECO:0000250|UniProtKB:P04191"; TRANSMEM 897..916; /note="Helical; Name=8"; /evidence="ECO:0000250|UniProtKB:P04191"; TRANSMEM 930..948; /note="Helical; Name=9"; /evidence="ECO:0000250|UniProtKB:P04191"; TRANSMEM 964..984; /note="Helical; Name=10"; /evidence="ECO:0000250|UniProtKB:P04191"
