Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Tissue specificity	Subcellular location [CC]	Transmembrane
P27487	reviewed	DPP4_HUMAN	Dipeptidyl peptidase 4 (EC 3.4.14.5) (ADABP) (Adenosine deaminase complexing protein 2) (ADCP-2) (Dipeptidyl peptidase IV) (DPP IV) (T-cell activation antigen CD26) (TP103) (CD antigen CD26) [Cleaved into: Dipeptidyl peptidase 4 membrane form (Dipeptidyl peptidase IV membrane form); Dipeptidyl peptidase 4 soluble form (Dipeptidyl peptidase IV soluble form)]	DPP4 ADCP2 CD26	Homo sapiens (Human)	766	TISSUE SPECIFICITY: Expressed specifically in lymphatic vessels but not in blood vessels in the skin, small intestine, esophagus, ovary, breast and prostate glands. Not detected in lymphatic vessels in the lung, kidney, uterus, liver and stomach (at protein level). Expressed in the poorly differentiated crypt cells of the small intestine as well as in the mature villous cells. Expressed at very low levels in the colon. {ECO:0000269|PubMed:1677636, ECO:0000269|PubMed:18708048}.	SUBCELLULAR LOCATION: [Dipeptidyl peptidase 4 soluble form]: Secreted {ECO:0000269|PubMed:10951221, ECO:0000269|PubMed:16254193}. Note=Detected in the serum and the seminal fluid. {ECO:0000269|PubMed:10951221, ECO:0000269|PubMed:16254193}.; SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10900005, ECO:0000269|PubMed:11772392, ECO:0000305|PubMed:8101391}; Single-pass type II membrane protein. Apical cell membrane {ECO:0000269|PubMed:11773049}; Single-pass type II membrane protein. Cell projection, invadopodium membrane {ECO:0000269|PubMed:16651416}; Single-pass type II membrane protein. Cell projection, lamellipodium membrane {ECO:0000269|PubMed:16651416}; Single-pass type II membrane protein. Cell junction {ECO:0000269|PubMed:11772392}. Membrane raft {ECO:0000269|PubMed:17287217}. Note=Translocated to the apical membrane through the concerted action of N- and O-Glycans and its association with lipid microdomains containing cholesterol and sphingolipids (PubMed:11773049). Redistributed to membrane rafts in T-cell in an interleukin-12-dependent activation (PubMed:12676959). Its interaction with CAV1 is necessary for its translocation to membrane rafts (PubMed:17287217). Colocalized with PTPRC in membrane rafts (PubMed:12676959). Colocalized with FAP in invadopodia and lamellipodia of migratory activated endothelial cells in collagenous matrix. Colocalized with FAP on endothelial cells of capillary-like microvessels but not large vessels within invasive breast ductal carcinoma (PubMed:16651416). Colocalized with ADA at the cell junction in lymphocyte-epithelial cell adhesion (PubMed:11772392). Colocalized with IGF2R in internalized cytoplasmic vesicles adjacent to the cell surface (PubMed:10900005). {ECO:0000269|PubMed:10900005, ECO:0000269|PubMed:11772392, ECO:0000269|PubMed:11773049, ECO:0000269|PubMed:12676959, ECO:0000269|PubMed:16651416, ECO:0000269|PubMed:17287217}.	"TRANSMEM 7..28; /note=""Helical; Signal-anchor for type II membrane protein""; /evidence=""ECO:0000255"""
P27815	reviewed	PDE4A_HUMAN	3',5'-cyclic-AMP phosphodiesterase 4A (EC 3.1.4.53) (DPDE2) (PDE46) (cAMP-specific phosphodiesterase 4A)	PDE4A DPDE2	Homo sapiens (Human)	886	TISSUE SPECIFICITY: [Isoform 1]: Expressed in lymphoid cell subsets including CD8-positive T cells and T-helper 2 cells. Expressed in dendritic cells. {ECO:0000269|PubMed:15738310}.; TISSUE SPECIFICITY: [Isoform 2]: Highly expressed in liver, stomach, testis, thyroid and adrenal glands and at a lower extent in placenta, kidney, pancreas, ovary, uterus and skin. Expressed in myeloid cell subsets including dendritic cells, monocytes, macrophages, eosinophils and mast cells. Expressed in natural killer cells. Expressed in bronchial smooth muscle. {ECO:0000269|PubMed:15738310}.; TISSUE SPECIFICITY: [Isoform 6]: Expressed at high levels in the heart and small intestine. It is also found in the brain, kidney, spleen, colon, salivary gland, ovary and peripheral blood lymphocytes. {ECO:0000269|PubMed:11306681}.; TISSUE SPECIFICITY: [Isoform 7]: Expressed predominantly in skeletal muscle and brain and at lower levels in the testis. Found in specific neuronal subpopulations including cortical pyramidal neurons, horn neurons in the spinal cord and Purkinje cells in cerebellum (at protein level). {ECO:0000269|PubMed:18095939}.	SUBCELLULAR LOCATION: [Isoform 1]: Cytoplasm, perinuclear region {ECO:0000269|PubMed:15738310}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm, perinuclear region {ECO:0000269|PubMed:15738310}. Cell projection, ruffle membrane {ECO:0000269|PubMed:15738310}.; SUBCELLULAR LOCATION: [Isoform 3]: Cytoplasm, cytosol {ECO:0000269|PubMed:7888306}.; SUBCELLULAR LOCATION: [Isoform 4]: Membrane; Peripheral membrane protein {ECO:0000269|PubMed:9677330}. Note=Isoform 4 has propensity for association with membranes. {ECO:0000269|PubMed:9677330}.; SUBCELLULAR LOCATION: [Isoform 6]: Cytoplasm, perinuclear region {ECO:0000269|PubMed:11306681, ECO:0000269|PubMed:15738310}.; SUBCELLULAR LOCATION: [Isoform 7]: Cytoplasm, cytosol. Membrane; Peripheral membrane protein {ECO:0000269|PubMed:18095939}. Note=Predominantly cytosolic. {ECO:0000269|PubMed:18095939}.	
P31151	reviewed	S10A7_HUMAN	Protein S100-A7 (Psoriasin) (S100 calcium-binding protein A7)	S100A7 PSOR1 S100A7C	Homo sapiens (Human)	101	TISSUE SPECIFICITY: Fetal ear, skin, and tongue and human cell lines. Highly up-regulated in psoriatic epidermis. Also highly expressed in the urine of bladder squamous cell carcinoma (SCC) bearing patients. {ECO:0000269|PubMed:8618345}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:8618345}. Secreted {ECO:0000269|PubMed:8618345}. Note=Secreted by a non-classical secretory pathway.	
P42127	reviewed	ASIP_HUMAN	Agouti-signaling protein (ASP) (Agouti switch protein)	ASIP AGTI AGTIL ASP	Homo sapiens (Human)	132	TISSUE SPECIFICITY: Widely expressed at low levels. Highly expressed in the skin. Expressed in adipose tissue. {ECO:0000269|PubMed:36536132, ECO:0000269|PubMed:7757071, ECO:0000269|PubMed:7937887}.	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:36536132}.	
P49862	reviewed	KLK7_HUMAN	Kallikrein-7 (hK7) (EC 3.4.21.117) (Serine protease 6) (Stratum corneum chymotryptic enzyme) (hSCCE)	KLK7 PRSS6 SCCE	Homo sapiens (Human)	253	TISSUE SPECIFICITY: Abundantly expressed in the skin and is expressed by keratinocytes in the epidermis. Also expressed in the brain, mammary gland, cerebellum, spinal cord and kidney. Lower levels in salivary glands, uterus, thymus, thyroid, placenta, trachea and testis. Up-regulated in ovarian carcinoma, especially late-stage serous carcinoma, compared with normal ovaries and benign adenomas (at protein level). {ECO:0000269|PubMed:10974542, ECO:0000269|PubMed:12738725}.	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:12738725}. Note=In ovarian carcinoma, secreted and also observed at the apical membrane and in cytoplasm at the invasive front.	
P49913	reviewed	CAMP_HUMAN	Cathelicidin antimicrobial peptide (18 kDa cationic antimicrobial protein) (CAP-18) (hCAP-18) [Cleaved into: Antibacterial peptide FALL-39 (FALL-39 peptide antibiotic); Antibacterial peptide LL-37; Antibacterial peptide KR-20; Antibacterial peptide LL-23; Antibacterial peptide LL-29; Antibacterial peptide KS-30; Antibacterial peptide RK-31; Antibacterial peptide FF-33]	CAMP CAP18 FALL39 HSD26	Homo sapiens (Human)	170	TISSUE SPECIFICITY: Expressed in neutrophilic granulocytes (at protein level) (PubMed:7529412, PubMed:7615076, PubMed:7890387, PubMed:8681941, PubMed:8946956, PubMed:9736536). Expressed in bone marrow (PubMed:7890387). {ECO:0000269|PubMed:7529412, ECO:0000269|PubMed:7615076, ECO:0000269|PubMed:7890387, ECO:0000269|PubMed:8681941, ECO:0000269|PubMed:8946956, ECO:0000269|PubMed:9736536}.; TISSUE SPECIFICITY: [Antibacterial peptide LL-37]: Expressed in granulocytes (at protein level) (PubMed:8681941). Expressed by the eccrine apparatus and secreted into sweat on skin (at protein level) (PubMed:14978112). {ECO:0000269|PubMed:14978112, ECO:0000269|PubMed:8681941}.; TISSUE SPECIFICITY: [Antibacterial peptide FALL-39]: Expressed in bone marrow and testis. {ECO:0000269|PubMed:7529412}.	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:14978112}. Vesicle {ECO:0000269|PubMed:7529412, ECO:0000269|PubMed:9736536}. Note=Stored as pro-peptide in granules and phagolysosomes of neutrophils (PubMed:7529412, PubMed:9736536). Secreted in sweat onto skin (PubMed:14978112). {ECO:0000269|PubMed:14978112, ECO:0000269|PubMed:7529412, ECO:0000269|PubMed:9736536}.	
P53420	reviewed	CO4A4_HUMAN	Collagen alpha-4(IV) chain	COL4A4	Homo sapiens (Human)	1690	TISSUE SPECIFICITY: Expressed in Bruch's membrane, outer plexiform layer, inner nuclear layer, inner plexiform layer, ganglion cell layer, inner limiting membrane and around the blood vessels of the retina (at protein level) (PubMed:29777959). Alpha 3 and alpha 4 type IV collagens are colocalized and present in kidney, eye, basement membranes of lens capsule, cochlea, lung, skeletal muscle, aorta, synaptic fibers, fetal kidney and fetal lung. PubMed:8083201 reports similar levels of expression of alpha 3 and alpha 4 type IV collagens in kidney, but PubMed:7523402 reports that in kidney levels of alpha 3 type IV collagen are significantly lower than those of alpha 4 type IV collagen. Highest levels of expression of alpha 4 type IV collagen are detected in kidney, calvaria, neuroretina and cardiac muscle. Lower levels of expression are observed in brain, lung and thymus, and no expression is detected in choroid plexus, liver, adrenal, pancreas, ileum or skin. {ECO:0000269|PubMed:29777959, ECO:0000269|PubMed:7523402, ECO:0000269|PubMed:8083201}.	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix, basement membrane {ECO:0000255|PROSITE-ProRule:PRU00736}. Note=Colocalizes with COL4A4 and COL4A5 in GBM, tubular basement membrane (TBM) and synaptic basal lamina (BL). {ECO:0000250}.	
P55000	reviewed	SLUR1_HUMAN	Secreted Ly-6/uPAR-related protein 1 (SLURP-1) (ARS component B) (ARS(component B)-81/S) (Anti-neoplastic urinary protein) (ANUP)	SLURP1 ARS	Homo sapiens (Human)	103	TISSUE SPECIFICITY: Granulocytes. Expressed in skin. Predominantly expressed in the granular layer of skin, notably the acrosyringium. Identified in several biological fluids such as sweat, saliva, tears, plasma and urine. {ECO:0000269|PubMed:14721776, ECO:0000269|PubMed:17008884}.	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:14506129, ECO:0000269|PubMed:25919322, ECO:0000269|PubMed:26905431}.	
P55089	reviewed	UCN1_HUMAN	Urocortin	UCN	Homo sapiens (Human)	124	TISSUE SPECIFICITY: Keratinocytes in epidermis and the outer and inner root sheaths of hair follicles, epithelium of sebaceous and sweat glands, erector pili muscle, cutaneous blood vessel walls, cutaneous nerves and dermal mononuclear cells (PubMed:10690896). Detected in plasma cells in the lamia propria in colon mucosa (PubMed:15531481) (at protein level). Expressed in pituitary and adrenal glands (PubMed:10690896). Detected in plasma cells in the lamia propria in colon mucosa (PubMed:15531481). {ECO:0000269|PubMed:10690896, ECO:0000269|PubMed:15531481}.	SUBCELLULAR LOCATION: Secreted.	
P57078	reviewed	RIPK4_HUMAN	Receptor-interacting serine/threonine-protein kinase 4 (EC 2.7.11.1) (Ankyrin repeat domain-containing protein 3) (PKC-delta-interacting protein kinase)	RIPK4 ANKRD3 DIK	Homo sapiens (Human)	832	TISSUE SPECIFICITY: Expressed in hair follicles and skin. {ECO:0000269|PubMed:26129644}.	SUBCELLULAR LOCATION: Cytoplasm. Membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}.	
P81534	reviewed	D103A_HUMAN	Beta-defensin 103 (Beta-defensin 3) (BD-3) (DEFB-3) (HBD3) (hBD-3) (Defensin, beta 103) (Defensin-like protein)	DEFB103A BD3 DEFB103 DEFB3; DEFB103B	Homo sapiens (Human)	67	TISSUE SPECIFICITY: Highly expressed in skin and tonsils, and to a lesser extent in trachea, uterus, kidney, thymus, adenoid, pharynx and tongue. Low expression in salivary gland, bone marrow, colon, stomach, polyp and larynx. No expression in small intestine. {ECO:0000269|PubMed:11085990}.	SUBCELLULAR LOCATION: Secreted.	
P82987	reviewed	ATL3_HUMAN	ADAMTS-like protein 3 (ADAMTSL-3) (Punctin-2)	ADAMTSL3 KIAA1233	Homo sapiens (Human)	1691	TISSUE SPECIFICITY: Expressed in epithelial cells of the colon, fallopian tube, skin, breast, prostate, epididymis, liver, pancreatic islets and bile ducts, as well as by vascular endothelial cells, smooth muscle cells, fibroblasts, cortical and ganglionic neurons and cardiac myocytes. Also expressed by malignant epithelial cells in colon cancer, as well as breast, prostate, renal and skin tumors. Expression is significantly reduced in colon cancer compared to normal colon. {ECO:0000269|PubMed:14667842, ECO:0000269|PubMed:17597111}.	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:14667842}.	
Q01469	reviewed	FABP5_HUMAN	Fatty acid-binding protein 5 (Epidermal-type fatty acid-binding protein) (E-FABP) (Fatty acid-binding protein, epidermal) (Psoriasis-associated fatty acid-binding protein homolog) (PA-FABP)	FABP5	Homo sapiens (Human)	135	TISSUE SPECIFICITY: Keratinocytes; highly expressed in psoriatic skin (PubMed:8092987). Expressed in brain gray matter (PubMed:21395585). {ECO:0000269|PubMed:21395585, ECO:0000269|PubMed:8092987}.	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:24692551, ECO:0000269|PubMed:8092987}. Nucleus {ECO:0000269|PubMed:24692551}. Synapse {ECO:0000250|UniProtKB:Q05816}. Postsynaptic density {ECO:0000250|UniProtKB:Q05816}. Secreted {ECO:0000250|UniProtKB:Q05816}. Note=Localizes primarily to the cytoplasm. Upon certain ligand binding, a conformation change exposes a nuclear localization motif and the protein is transported into nucleus (PubMed:24692551). Secreted by astrocytes, but not by neurons (By similarity). {ECO:0000250|UniProtKB:Q05816, ECO:0000269|PubMed:24692551}.	
Q01955	reviewed	CO4A3_HUMAN	Collagen alpha-3(IV) chain (Goodpasture antigen) [Cleaved into: Tumstatin]	COL4A3	Homo sapiens (Human)	1670	TISSUE SPECIFICITY: Alpha 3 and alpha 4 type IV collagens are colocalized and present in kidney, eye, basement membranes of lens capsule, cochlea, lung, skeletal muscle, aorta, synaptic fibers, fetal kidney and fetal lung. PubMed:8083201 reports similar levels of expression of alpha 3 and alpha 4 type IV collagens in kidney, but PubMed:7523402 reports that in kidney levels of alpha 3 type IV collagen are significantly lower than those of alpha 4 type IV collagen. According to PubMed:8083201, alpha 3 type IV collagen is not detected in heart, brain, placenta, liver, pancreas, extrasynaptic muscle fibers, endoneurial and perineurial nerves, fetal brain, fetal heart and fetal liver. According to PubMed:7523402, alpha 3 type IV collagen is strongly expressed in pancreas, neuroretina and calvaria and not expressed in adrenal, ileum and skin. Isoform 1 and isoform 3 are strongly expressed in kidney, lung, suprarenal capsule, muscle and spleen, in each of these tissues isoform 1 is more abundant than isoform 3. Isoform 1 and isoform 3 are expressed at low levels in artery, fat, pericardium and peripherical nerve, but not in placenta, mesangium, skin, pleura and cultured umbilical endothelial cells. {ECO:0000269|PubMed:7523402, ECO:0000269|PubMed:8083201, ECO:0000269|PubMed:8505332}.	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix, basement membrane. Note=Colocalizes with COL4A4 and COL4A5 in GBM, tubular basement membrane (TBM) and synaptic basal lamina (BL). {ECO:0000250}.	
Q03001	reviewed	DYST_HUMAN	Dystonin (230 kDa bullous pemphigoid antigen) (230/240 kDa bullous pemphigoid antigen) (Bullous pemphigoid antigen 1) (BPA) (Bullous pemphigoid antigen) (Dystonia musculorum protein) (Hemidesmosomal plaque protein)	DST BP230 BP240 BPAG1 DMH DT KIAA0728	Homo sapiens (Human)	7570	TISSUE SPECIFICITY: Isoform 1 is expressed in myoblasts (at protein level). Isoform 3 is expressed in the skin. Isoform 6 is expressed in the brain. Highly expressed in skeletal muscle and cultured keratinocytes. {ECO:0000269|PubMed:11751855, ECO:0000269|PubMed:19932097, ECO:0000269|PubMed:8752219}.	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:11751855, ECO:0000269|PubMed:19932097}. Cytoplasm, cytoskeleton, stress fiber {ECO:0000250|UniProtKB:Q91ZU6}. Cell projection, axon {ECO:0000250|UniProtKB:Q91ZU6}. Note=Associates with intermediate filaments, actin and microtubule cytoskeletons. Localizes to actin stress fibers and to actin-rich ruffling at the cortex of cells (By similarity). Associated at the growing distal tip of microtubules. {ECO:0000250|UniProtKB:Q91ZU6}.; SUBCELLULAR LOCATION: [Isoform 1]: Cytoplasm, cytoskeleton {ECO:0000250}. Cytoplasm, myofibril, sarcomere, Z line. Cytoplasm, myofibril, sarcomere, H zone {ECO:0000250}. Note=Localizes to microtubules and actin microfilaments throughout the cytoplasm and at focal contact attachments at the plasma membrane. {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm, cytoskeleton {ECO:0000250}. Note=Colocalizes both cortical and cytoplasmic actin filaments. {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 3]: Cytoplasm, cytoskeleton. Cell junction, hemidesmosome. Note=Localizes to actin and intermediate filaments cytoskeletons (By similarity). Colocalizes with the epidermal KRT5-KRT14 intermediate filaments network of keratins. Colocalizes with ITGB4 at the leading edge of migrating keratinocytes. {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 6]: Nucleus {ECO:0000250|UniProtKB:Q91ZU6}. Nucleus envelope {ECO:0000269|PubMed:10428034}. Membrane {ECO:0000269|PubMed:10428034}; Single-pass membrane protein {ECO:0000269|PubMed:10428034}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q91ZU6}; Single-pass membrane protein {ECO:0000250|UniProtKB:Q91ZU6}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:10428034}. Cytoplasm, cytoskeleton, stress fiber {ECO:0000250|UniProtKB:Q91ZU6}. Note=Localizes to actin and intermediate filaments cytoskeletons. Localizes to central actin stress fibers around the nucleus and is excluded form focal contact sites in myoblast cells. Translocates to the nucleus (By similarity). Associates with actin cytoskeleton in sensory neurons. {ECO:0000250|UniProtKB:Q91ZU6}.; SUBCELLULAR LOCATION: [Isoform 7]: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:10428034}. Cell projection, axon {ECO:0000269|PubMed:10428034}. Membrane {ECO:0000269|PubMed:10428034}. Note=Associates with axonal microtubules and intermediate filaments, but not with actin cytoskeleton, in sensory neurons.; SUBCELLULAR LOCATION: [Isoform 8]: Cytoplasm, cytoskeleton {ECO:0000250}. Cytoplasm, cell cortex {ECO:0000250}. Cell membrane {ECO:0000250}; Lipid-anchor {ECO:0000250}.	
Q04912	reviewed	RON_HUMAN	Macrophage-stimulating protein receptor (MSP receptor) (EC 2.7.10.1) (CDw136) (Protein-tyrosine kinase 8) (p185-Ron) (CD antigen CD136) [Cleaved into: Macrophage-stimulating protein receptor alpha chain; Macrophage-stimulating protein receptor beta chain]	MST1R PTK8 RON	Homo sapiens (Human)	1400	TISSUE SPECIFICITY: Expressed in colon, skin, lung and bone marrow. {ECO:0000269|PubMed:8062829}.	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.	"TRANSMEM 958..978; /note=""Helical""; /evidence=""ECO:0000255"""
Q07092	reviewed	COGA1_HUMAN	Collagen alpha-1(XVI) chain	COL16A1 FP1572	Homo sapiens (Human)	1604	TISSUE SPECIFICITY: In papillary dermis, is a component of specialized fibrillin-1-containing microfibrils, whereas in territorial cartilage matrix, it is localized to a discrete population of thin, weakly banded collagen fibrils in association with other collagens (at protein level). In the placenta, where it is found in the amnion, a membranous tissue lining the amniotic cavity. Within the amnion, it is found in an acellular, relatively dense layer of a complex network of reticular fibers. Also located to a fibroblast layer beneath this dense layer. Exists in tissues in association with other types of collagen. {ECO:0000269|PubMed:12782140}.	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:9022684}.	
Q12884	reviewed	SEPR_HUMAN	Prolyl endopeptidase FAP (EC 3.4.21.26) (170 kDa melanoma membrane-bound gelatinase) (Dipeptidyl peptidase FAP) (EC 3.4.14.5) (Fibroblast activation protein alpha) (FAPalpha) (Gelatine degradation protease FAP) (EC 3.4.21.-) (Integral membrane serine protease) (Post-proline cleaving enzyme) (Serine integral membrane protease) (SIMP) (Surface-expressed protease) (Seprase) [Cleaved into: Antiplasmin-cleaving enzyme FAP, soluble form (APCE) (EC 3.4.14.5) (EC 3.4.21.-) (EC 3.4.21.26)]	FAP	Homo sapiens (Human)	760	TISSUE SPECIFICITY: Expressed in adipose tissue. Expressed in the dermal fibroblasts in the fetal skin. Expressed in the granulation tissue of healing wounds and on reactive stromal fibroblast in epithelial cancers. Expressed in activated fibroblast-like synoviocytes from inflamed synovial tissues. Expressed in activated hepatic stellate cells (HSC) and myofibroblasts from cirrhotic liver, but not detected in normal liver. Expressed in glioma cells (at protein level). Expressed in glioblastomas and glioma cells. Isoform 1 and isoform 2 are expressed in melanoma, carcinoma and fibroblast cell lines. {ECO:0000269|PubMed:10347120, ECO:0000269|PubMed:10593948, ECO:0000269|PubMed:10644713, ECO:0000269|PubMed:16175601, ECO:0000269|PubMed:17105646, ECO:0000269|PubMed:20707604, ECO:0000269|PubMed:24371721, ECO:0000269|PubMed:7911242}.	SUBCELLULAR LOCATION: [Prolyl endopeptidase FAP]: Cell surface {ECO:0000269|PubMed:10593948, ECO:0000269|PubMed:16175601, ECO:0000269|PubMed:17105646, ECO:0000269|PubMed:24717288, ECO:0000269|PubMed:7911242}. Cell membrane {ECO:0000269|PubMed:12376466, ECO:0000269|PubMed:16651416, ECO:0000269|PubMed:9065413, ECO:0000303|PubMed:10455171}; Single-pass type II membrane protein {ECO:0000255}. Cell projection, lamellipodium membrane {ECO:0000269|PubMed:16651416, ECO:0000269|PubMed:9065413}; Single-pass type II membrane protein {ECO:0000255}. Cell projection, invadopodium membrane {ECO:0000269|PubMed:12376466, ECO:0000269|PubMed:16651416, ECO:0000269|PubMed:7923219, ECO:0000269|PubMed:9065413, ECO:0000303|PubMed:10455171}; Single-pass type II membrane protein {ECO:0000255}. Cell projection, ruffle membrane {ECO:0000303|PubMed:10455171}; Single-pass type II membrane protein {ECO:0000255}. Membrane {ECO:0000269|PubMed:2172980}; Single-pass type II membrane protein {ECO:0000255}. Note=Localized on cell surface with lamellipodia and invadopodia membranes and on shed vesicles. Colocalized with DPP4 at invadopodia and lamellipodia membranes of migratory activated endothelial cells in collagenous matrix. Colocalized with DPP4 on endothelial cells of capillary-like microvessels but not large vessels within invasive breast ductal carcinoma. Anchored and enriched preferentially by integrin alpha-3/beta-1 at invadopodia, plasma membrane protrusions that correspond to sites of cell invasion, in a collagen-dependent manner. Localized at plasma and ruffle membranes in a collagen-independent manner. Colocalized with PLAUR preferentially at the cell surface of invadopodia membranes in a cytoskeleton-, integrin- and vitronectin-dependent manner. Concentrated at invadopodia membranes, specialized protrusions of the ventral plasma membrane in a fibrobectin-dependent manner. Colocalizes with extracellular components (ECM), such as collagen fibers and fibronectin. {ECO:0000269|PubMed:10593948, ECO:0000269|PubMed:12376466, ECO:0000269|PubMed:16175601, ECO:0000269|PubMed:16651416, ECO:0000269|PubMed:17105646, ECO:0000269|PubMed:2172980, ECO:0000269|PubMed:24717288, ECO:0000269|PubMed:7911242, ECO:0000269|PubMed:7923219, ECO:0000269|PubMed:9065413, ECO:0000303|PubMed:10455171}.; SUBCELLULAR LOCATION: [Antiplasmin-cleaving enzyme FAP, soluble form]: Secreted {ECO:0000269|PubMed:14751930, ECO:0000269|PubMed:16223769, ECO:0000269|PubMed:24371721}. Note=Found in blood plasma and serum. {ECO:0000269|PubMed:14751930, ECO:0000269|PubMed:16223769, ECO:0000269|PubMed:24371721}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm {ECO:0000303|PubMed:10644713}.	"TRANSMEM 5..25; /note=""Helical; Signal-anchor for type II membrane protein""; /evidence=""ECO:0000255"""
Q13145	reviewed	BAMBI_HUMAN	BMP and activin membrane-bound inhibitor homolog (Non-metastatic gene A protein) (Putative transmembrane protein NMA)	BAMBI NMA	Homo sapiens (Human)	260	TISSUE SPECIFICITY: High expression in kidney medulla, placenta and spleen; low in kidney cortex, liver, prostate and gut. Not expressed in normal skin, expression is high in melanocytes and in 3 out of 11 melanoma metastases tested.	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.	"TRANSMEM 153..173; /note=""Helical""; /evidence=""ECO:0000255"""
Q13740	reviewed	CD166_HUMAN	CD166 antigen (Activated leukocyte cell adhesion molecule) (CD antigen CD166)	ALCAM MEMD	Homo sapiens (Human)	583	TISSUE SPECIFICITY: Detected on hematopoietic stem cells derived from umbilical cord blood (PubMed:24740813). Detected on lymph vessel endothelial cells, skin and tonsil (PubMed:23169771). Detected on peripheral blood monocytes (PubMed:15048703). Detected on monocyte-derived dendritic cells (at protein level) (PubMed:16352806). Detected at low levels in spleen, placenta, liver (PubMed:9502422). Expressed by activated T-cells, B-cells, monocytes and thymic epithelial cells (PubMed:7760007). Isoform 1 and isoform 3 are detected in vein and artery endothelial cells, astrocytes, keratinocytes and artery smooth muscle cells (PubMed:15496415). Expressed by neurons in the brain. Restricted expression in tumor cell lines. Detected in highly metastasizing melanoma cell lines (PubMed:9502422). {ECO:0000269|PubMed:15048703, ECO:0000269|PubMed:24740813, ECO:0000269|PubMed:7760007, ECO:0000269|PubMed:9502422}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:15048703, ECO:0000269|PubMed:15294938, ECO:0000269|PubMed:16352806, ECO:0000269|PubMed:23169771, ECO:0000269|PubMed:24740813, ECO:0000269|PubMed:24945728, ECO:0000269|PubMed:7760007}; Single-pass type I membrane protein {ECO:0000305}. Cell projection, axon {ECO:0000250|UniProtKB:Q61490}. Cell projection, dendrite {ECO:0000250|UniProtKB:Q61490}. Note=Detected at the immunological synapse, i.e, at the contact zone between antigen-presenting dendritic cells and T-cells (PubMed:15294938, PubMed:16352806). Colocalizes with CD6 and the TCR/CD3 complex at the immunological synapse (PubMed:15294938). {ECO:0000269|PubMed:15294938, ECO:0000269|PubMed:16352806}.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted {ECO:0000269|PubMed:15496415}.	"TRANSMEM 528..549; /note=""Helical""; /evidence=""ECO:0000255"""
Q14254	reviewed	FLOT2_HUMAN	Flotillin-2 (Epidermal surface antigen) (ESA) (Membrane component chromosome 17 surface marker 1)	FLOT2 ESA1 M17S1	Homo sapiens (Human)	428	TISSUE SPECIFICITY: In skin, expressed in epidermis and epidermal appendages but not in dermis. Expressed in all layers of the epidermis except the basal layer. In hair follicles, expressed in the suprabasal layer but not the basal layer. Also expressed in melanoma and carcinoma cell lines, fibroblasts and foreskin melanocytes.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:20682791}; Peripheral membrane protein {ECO:0000269|PubMed:20682791}. Membrane, caveola {ECO:0000269|PubMed:20682791}; Peripheral membrane protein {ECO:0000269|PubMed:20682791}. Endosome {ECO:0000269|PubMed:20682791}. Membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}. Note=Membrane-associated protein of caveolae.	
