Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Tissue specificity	PDB	Transmembrane	Subcellular location [CC]
P17947	reviewed	SPI1_HUMAN	Transcription factor PU.1 (31 kDa-transforming protein)	SPI1	Homo sapiens (Human)	270	TISSUE SPECIFICITY: In the bone marrow, concentrated in hematopoietic stem cell, lymphoid progenitor, myeloid lineage (granulocyte macrophage progenitors, classical dendritic cells, monocytes) and B-cell clusters. Among B-cells, predominantly expressed in pre-B1 cells (PubMed:33951726). Expressed in germinal center B-cells (PubMed:23166356). {ECO:0000269|PubMed:23166356, ECO:0000269|PubMed:33951726}.	8E3K;8E3R;8E4H;8E5Y;8EBH;8EE9;8EJ6;8EJ8;8EK3;8EK8;8EKJ;8EKU;8EKV;8EKZ;8EM9;8EMD;8ENG;8EO1;8EO4;8EQG;8EQK;8EQL;8T9U;8UFF;8UFK;8UFZ;8UHK;8V9N;8VDH;8VDI;		SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00237, ECO:0000269|PubMed:33951726}.
P19012	reviewed	K1C15_HUMAN	Keratin, type I cytoskeletal 15 (Cytokeratin-15) (CK-15) (Keratin-15) (K15)	KRT15 KRTB	Homo sapiens (Human)	456	TISSUE SPECIFICITY: Expressed in a discontinuous manner in the basal cell layer of adult skin epidermis, but continuously in the basal layer of fetal skin epidermis and nail. Also expressed in the outer root sheath above the hair bulb in hair follicle (at protein level). Expressed homogeneously in all cell layers of the esophagus and exocervix, but detected in the basal cell layer only of oral mucosa, skin and in the basal plus the next two layers of the suprabasal epithelium of the palate. {ECO:0000269|PubMed:10084315, ECO:0000269|PubMed:2452170}.			
P19320	reviewed	VCAM1_HUMAN	Vascular cell adhesion protein 1 (V-CAM 1) (VCAM-1) (INCAM-100) (CD antigen CD106) [Cleaved into: Soluble Vascular Cell Adhesion Molecule-1]	VCAM1	Homo sapiens (Human)	739	TISSUE SPECIFICITY: Expressed on inflamed vascular endothelium, as well as on macrophage-like and dendritic cell types in both normal and inflamed tissue.	1IJ9;1VCA;1VSC;	TRANSMEM 699..720; /note="Helical"; /evidence="ECO:0000255"	SUBCELLULAR LOCATION: [Vascular cell adhesion protein 1]: Cell membrane {ECO:0000305|PubMed:12878595}; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Soluble Vascular Cell Adhesion Molecule-1]: Secreted {ECO:0000269|PubMed:12878595, ECO:0000269|PubMed:36127634}.
P20396	reviewed	TRH_HUMAN	Pro-thyrotropin-releasing hormone (Pro-TRH) (Prothyroliberin) [Cleaved into: Thyrotropin-releasing hormone (TRH) (Protirelin) (TSH-releasing factor) (Thyroliberin) (Thyrotropin-releasing factor) (TRF)]	TRH	Homo sapiens (Human)	242	TISSUE SPECIFICITY: Hypothalamus. Expressed in the hair follicle epithelium (at protein level). {ECO:0000269|PubMed:19825978}.			SUBCELLULAR LOCATION: Secreted.
P30084	reviewed	ECHM_HUMAN	Enoyl-CoA hydratase, mitochondrial (mECH) (mECH1) (EC 4.2.1.17) (EC 5.3.3.8) (Enoyl-CoA hydratase 1) (ECHS1) (Short-chain enoyl-CoA hydratase) (SCEH)	ECHS1	Homo sapiens (Human)	290	TISSUE SPECIFICITY: Liver, fibroblast, muscle. Barely detectable in spleen and kidney.	2HW5;		SUBCELLULAR LOCATION: Mitochondrion matrix.
P35222	reviewed	CTNB1_HUMAN	Catenin beta-1 (Beta-catenin)	CTNNB1 CTNNB OK/SW-cl.35 PRO2286	Homo sapiens (Human)	781	TISSUE SPECIFICITY: Expressed in several hair follicle cell types: basal and peripheral matrix cells, and cells of the outer and inner root sheaths. Expressed in colon. Present in cortical neurons (at protein level). Expressed in breast cancer tissues (at protein level) (PubMed:29367600). {ECO:0000269|PubMed:11703283, ECO:0000269|PubMed:17009320, ECO:0000269|PubMed:17289029, ECO:0000269|PubMed:29367600}.	1G3J;1JDH;1JPW;1LUJ;1P22;1QZ7;1T08;1TH1;2G57;2GL7;2Z6H;3DIW;3FQN;3FQR;3SL9;3SLA;3TX7;4DJS;6M90;6M91;6M92;6M93;6M94;6O9B;6O9C;6WLX;6WNX;7AFW;7AR4;7UWI;7UWO;7ZRB;8EI9;8EIA;8EIB;8EIC;8RU3;8RU4;8VME;8VMF;8Y0G;8Y0P;8Y14;8Z0U;8Z10;8Z5J;8Z61;		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:22294297, ECO:0000269|PubMed:25183871, ECO:0000269|PubMed:29739711, ECO:0000269|PubMed:29910125, ECO:0000269|PubMed:31801859}. Nucleus {ECO:0000269|PubMed:21118991, ECO:0000269|PubMed:24342833, ECO:0000269|PubMed:25183871, ECO:0000269|PubMed:28829046, ECO:0000269|PubMed:29367600, ECO:0000269|PubMed:29739711, ECO:0000269|PubMed:29910125, ECO:0000269|PubMed:31801859}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:B6V8E6}. Cell junction, adherens junction {ECO:0000269|PubMed:10725230, ECO:0000269|PubMed:22294297}. Cell junction {ECO:0000250|UniProtKB:B6V8E6}. Cell membrane {ECO:0000269|PubMed:11790773, ECO:0000269|PubMed:24342833}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome. Cytoplasm, cytoskeleton, spindle pole. Synapse {ECO:0000250|UniProtKB:Q02248}. Cytoplasm, cytoskeleton, cilium basal body {ECO:0000250|UniProtKB:Q02248}. Note=Colocalized with RAPGEF2 and TJP1 at cell-cell contacts (By similarity). Cytoplasmic when it is un-stable (highly phosphorylated) or bound to CDH1. Translocates to the nucleus when it is stabilized (low level of phosphorylation). Interaction with GLIS2 and MUC1 promotes nuclear translocation. Interaction with EMD inhibits nuclear localization. The majority of CTNNB1 is localized to the cell membrane. In interphase, colocalizes with CROCC between CEP250 puncta at the proximal end of centrioles, and this localization is dependent on CROCC and CEP250. In mitosis, when NEK2 activity increases, it localizes to centrosomes at spindle poles independent of CROCC. Colocalizes with CDK5 in the cell-cell contacts and plasma membrane of undifferentiated and differentiated neuroblastoma cells. Interaction with FAM53B promotes translocation to the nucleus (PubMed:25183871). Translocates to the nucleus in the presence of SNAIL1 (By similarity). Ca(2+)-mediated localization to the cell membrane in dental epithelial cells is inhibited via WNT3A (By similarity). Localizes to cell-cell contacts as keratinocyte differentiation progresses (By similarity). {ECO:0000250|UniProtKB:B6V8E6, ECO:0000250|UniProtKB:Q02248, ECO:0000269|PubMed:25183871}.
P36888	reviewed	FLT3_HUMAN	Receptor-type tyrosine-protein kinase FLT3 (EC 2.7.10.1) (FL cytokine receptor) (Fetal liver kinase-2) (FLK-2) (Fms-like tyrosine kinase 3) (FLT-3) (Stem cell tyrosine kinase 1) (STK-1) (CD antigen CD135)	FLT3 CD135 FLK2 STK1	Homo sapiens (Human)	993	TISSUE SPECIFICITY: Detected in bone marrow, in hematopoietic stem cells, in myeloid progenitor cells and in granulocyte/macrophage progenitor cells (at protein level). Detected in bone marrow, liver, thymus, spleen and lymph node, and at low levels in kidney and pancreas. Highly expressed in T-cell leukemia. {ECO:0000269|PubMed:18490735, ECO:0000269|PubMed:7507245, ECO:0000269|PubMed:8394751, ECO:0000269|PubMed:8637232}.	1RJB;3QS7;3QS9;4RT7;4XUF;5X02;6IL3;6JQR;7QDP;7ZV9;	TRANSMEM 544..563; /note="Helical"; /evidence="ECO:0000255"	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein. Endoplasmic reticulum lumen. Note=Constitutively activated mutant forms with internal tandem duplications are less efficiently transported to the cell surface and a significant proportion is retained in an immature form in the endoplasmic reticulum lumen. The activated kinase is rapidly targeted for degradation.
P37088	reviewed	SCNNA_HUMAN	Epithelial sodium channel subunit alpha (Alpha-ENaC) (ENaC subunit alpha) (ENaCA) (Epithelial Na(+) channel subunit alpha) (Alpha-NaCH) (Amiloride-sensitive sodium channel subunit alpha) (Nonvoltage-gated sodium channel 1 subunit alpha) (SCNEA) (Sodium channel epithelial 1 subunit alpha)	SCNN1A SCNN1	Homo sapiens (Human)	669	TISSUE SPECIFICITY: Expressed in the female reproductive tract, from the fimbrial end of the fallopian tube to the endometrium (at protein level) (PubMed:22207244). Expressed in kidney (at protein level). In the respiratory tract, expressed in the bronchial epithelium (at protein level). Highly expressed in lung. Detected at intermediate levels in pancreas and liver, and at low levels in heart and placenta (PubMed:22207244). in skin, expressed in keratinocytes, melanocytes and Merkel cells of the epidermal sub-layers, stratum basale, stratum spinosum and stratum granulosum (at protein level) (PubMed:28130590). Expressed in the outer root sheath of the hair follicles (at protein level) (PubMed:28130590). Detected in both peripheral and central cells of the sebaceous gland (at protein level) (PubMed:28130590). Expressed by eccrine sweat glands (at protein level) (PubMed:28130590). In skin, also expressed by arrector pili muscle cells and intradermal adipocytes (PubMed:28130590). Isoform 1 and isoform 2 predominate in all tissues. {ECO:0000269|PubMed:22207244, ECO:0000269|PubMed:28130590, ECO:0000269|PubMed:9575806}.; TISSUE SPECIFICITY: [Isoform 4]: Detected in lung and heart. {ECO:0000269|PubMed:9575806}.	2M3O;6BQN;6WTH;	TRANSMEM 86..106; /note="Helical; Name=1"; /evidence="ECO:0000255"; TRANSMEM 563..583; /note="Helical; Name=2"; /evidence="ECO:0000255"	SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000269|PubMed:18174164, ECO:0000269|PubMed:22207244, ECO:0000269|PubMed:28130590}; Multi-pass membrane protein {ECO:0000269|PubMed:32729833}. Cell projection, cilium {ECO:0000269|PubMed:22207244}. Cytoplasmic granule {ECO:0000269|PubMed:28130590}. Cytoplasm {ECO:0000269|PubMed:28130590}. Cytoplasmic vesicle, secretory vesicle, acrosome {ECO:0000250|UniProtKB:P37089}. Cell projection, cilium, flagellum {ECO:0000250|UniProtKB:P37089}. Note=In the oviduct and bronchus, located on cilia in multi-ciliated cells. In endometrial non-ciliated epithelial cells, restricted to apical surfaces. In epidermis, located nearly uniformly in the cytoplasm in a granular distribution (PubMed:28130590). In sebaceous glands, observed only in the cytoplasmic space in between the lipid vesicles (PubMed:28130590). In eccrine sweat glands, mainly located at the apical surface of the cells facing the lumen (PubMed:28130590). In skin, in arrector pili muscle cells and in adipocytes, located in the cytoplasm and colocalized with actin fibers (PubMed:28130590). In spermatogonia, spermatocytes and round spermatids, located in the cytoplasm (By similarity). Prior to spermiation, location shifts from the cytoplasm to the spermatid tail (By similarity). In spermatozoa, localizes at the acrosome and the central region of the sperm flagellum (By similarity). {ECO:0000250|UniProtKB:P37089, ECO:0000269|PubMed:22207244, ECO:0000269|PubMed:24124190, ECO:0000269|PubMed:28130590}.
P40121	reviewed	CAPG_HUMAN	Macrophage-capping protein (Actin regulatory protein CAP-G)	CAPG AFCP MCP	Homo sapiens (Human)	348	TISSUE SPECIFICITY: Macrophages and macrophage-like cells.	1J72;1JHW;		SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17081065, ECO:0000269|PubMed:18266911}. Cytoplasm {ECO:0000269|PubMed:17081065}. Melanosome {ECO:0000269|PubMed:17081065}. Cell projection, lamellipodium {ECO:0000250|UniProtKB:P24452}. Cell projection, ruffle {ECO:0000250|UniProtKB:P24452}. Note=In macrophages, may be predominantly cytoplasmic. Nuclear localization was observed in fibroblasts. In macrophages, present at the membrane-cytoplasm interface. In activated macrophages, concentrated in the ruffles of the leading lamellipodia. {ECO:0000250|UniProtKB:P24452}.
P43354	reviewed	NR4A2_HUMAN	Nuclear receptor subfamily 4 group A member 2 (Immediate-early response protein NOT) (Orphan nuclear receptor NURR1) (Transcriptionally-inducible nuclear receptor)	NR4A2 NOT NURR1 TINUR	Homo sapiens (Human)	598	TISSUE SPECIFICITY: Expressed in a number of cell lines of T-cell, B-cell and fibroblast origin. Strong expression in brain tissue.	1OVL;5Y41;5YD6;6DDA;6L6L;6L6Q;7WNH;8CYO;		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:23283970}. Nucleus {ECO:0000269|PubMed:17184956, ECO:0000269|PubMed:23283970}. Note=Mostly nuclear; oxidative stress promotes cytoplasmic localization. {ECO:0000269|PubMed:23283970}.
P43657	reviewed	LPAR6_HUMAN	Lysophosphatidic acid receptor 6 (LPA receptor 6) (LPA-6) (Oleoyl-L-alpha-lysophosphatidic acid receptor) (P2Y purinoceptor 5) (P2Y5) (Purinergic receptor 5) (RB intron encoded G-protein coupled receptor)	LPAR6 P2RY5	Homo sapiens (Human)	344	TISSUE SPECIFICITY: Expressed ubiquitously, including in skin and hair follicle cells. Detected in both Henle's and Huxley's layers of the inner root sheath of the hair follicle and in suprabasal layers of the epidermis (at protein level). Expressed at low levels in peripheral blood leukocytes. {ECO:0000269|PubMed:11004484, ECO:0000269|PubMed:18297070, ECO:0000269|PubMed:18297072}.		TRANSMEM 20..46; /note="Helical; Name=1"; /evidence="ECO:0000255"; TRANSMEM 56..79; /note="Helical; Name=2"; /evidence="ECO:0000255"; TRANSMEM 93..112; /note="Helical; Name=3"; /evidence="ECO:0000255"; TRANSMEM 134..154; /note="Helical; Name=4"; /evidence="ECO:0000255"; TRANSMEM 182..209; /note="Helical; Name=5"; /evidence="ECO:0000255"; TRANSMEM 228..253; /note="Helical; Name=6"; /evidence="ECO:0000255"; TRANSMEM 273..292; /note="Helical; Name=7"; /evidence="ECO:0000255"	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18297070, ECO:0000269|PubMed:36173926}; Multi-pass membrane protein {ECO:0000269|PubMed:18297070}.
P48449	reviewed	LSS_HUMAN	Lanosterol synthase (EC 5.4.99.7) (2,3-epoxysqualene--lanosterol cyclase) (Oxidosqualene--lanosterol cyclase) (OSC) (hOSC)	LSS OSC	Homo sapiens (Human)	732	TISSUE SPECIFICITY: Widely expressed. Expressed in the hair bulb, the outer root sheath and hair matrix of the hair follicle epithelium. Also detected in dermal papilla, epidermis, sweat glands, sebaceous glands, and blood vessels. {ECO:0000269|PubMed:30401459}.	1W6J;1W6K;		SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:14766201, ECO:0000269|PubMed:15525992, ECO:0000269|PubMed:30401459}; Peripheral membrane protein {ECO:0000269|PubMed:14766201, ECO:0000269|PubMed:15525992}.
P48668	reviewed	K2C6C_HUMAN	Keratin, type II cytoskeletal 6C (Cytokeratin-6C) (CK-6C) (Cytokeratin-6E) (CK-6E) (Keratin K6h) (Keratin-6C) (K6C) (Type-II keratin Kb12)	KRT6C KRT6E	Homo sapiens (Human)	564	TISSUE SPECIFICITY: Constitutively expressed in distinct types of epithelia such as those in oral mucosa, esophagus, papillae of tongue and hair follicle outer root sheath.			
P54760	reviewed	EPHB4_HUMAN	Ephrin type-B receptor 4 (EC 2.7.10.1) (Hepatoma transmembrane kinase) (Tyrosine-protein kinase TYRO11)	EPHB4 HTK MYK1 TYRO11	Homo sapiens (Human)	987	TISSUE SPECIFICITY: Abundantly expressed in placenta but also detected in kidney, liver, lung, pancreas, skeletal muscle and heart. Expressed in primitive and myeloid, but not lymphoid, hematopoietic cells. Also observed in cell lines derived from liver, breast, colon, lung, melanocyte and cervix. {ECO:0000269|PubMed:8188704}.	2BBA;2E7H;2HLE;2QKQ;2VWU;2VWV;2VWW;2VWX;2VWY;2VWZ;2VX0;2VX1;2X9F;2XVD;2YN8;3ZEW;4AW5;4BB4;6FNI;6FNJ;6FNK;6FNL;6FNM;	TRANSMEM 540..560; /note="Helical"; /evidence="ECO:0000255"	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:28687708, ECO:0000269|PubMed:8188704}; Single-pass type I membrane protein {ECO:0000269|PubMed:8188704}.
P55774	reviewed	CCL18_HUMAN	C-C motif chemokine 18 (Alternative macrophage activation-associated CC chemokine 1) (AMAC-1) (CC chemokine PARC) (Dendritic cell chemokine 1) (DC-CK1) (Macrophage inflammatory protein 4) (MIP-4) (Pulmonary and activation-regulated chemokine) (Small-inducible cytokine A18) [Cleaved into: CCL18(1-68); CCL18(3-69); CCL18(4-69)]	CCL18 AMAC1 DCCK1 MIP4 PARC SCYA18	Homo sapiens (Human)	89	TISSUE SPECIFICITY: Expressed at high levels in lung, lymph nodes, placenta, bone marrow, dendritic cells present in germinal centers and T-cell areas of secondary lymphoid organs and macrophages derived from peripheral blood monocytes. Not expressed by peripheral blood monocytes and a monocyte-to-macrophage differentiation is a prerequisite for expression. Expressed in synovial fluids from patients with rheumatoid and septic arthritis and in ovarian carcinoma ascitic fluid. {ECO:0000269|PubMed:11745396}.	4MHE;		SUBCELLULAR LOCATION: Secreted.
P60602	reviewed	ROMO1_HUMAN	Reactive oxygen species modulator 1 (ROS modulator 1) (Epididymis tissue protein Li 175) (Glyrichin) (Mitochondrial targeting GxxxG motif protein) (MTGM) (Protein MGR2 homolog)	ROMO1 C20orf52	Homo sapiens (Human)	79	TISSUE SPECIFICITY: Up-regulated in a number of cancer cell lines when compared to a normal lung fibroblast cell line. Highly expressed in brain tumors. {ECO:0000269|PubMed:16842742, ECO:0000269|PubMed:19535734}.		TRANSMEM 22..44; /note="Helical"; /evidence="ECO:0000255"	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:16842742, ECO:0000269|PubMed:19535734}; Single-pass membrane protein {ECO:0000269|PubMed:16842742, ECO:0000269|PubMed:19535734}.
P62304	reviewed	RUXE_HUMAN	Small nuclear ribonucleoprotein E (snRNP-E) (Sm protein E) (Sm-E) (SmE)	SNRPE	Homo sapiens (Human)	92	TISSUE SPECIFICITY: Widely expressed. In scalp skin, it is present in the hair follicle, the epidermis, and the dermis. {ECO:0000269|PubMed:23246290}.	3CW1;3JCR;3PGW;4F7U;4PJO;4V98;4WZJ;5MQF;5O9Z;5XJC;5XJL;5XJQ;5XJR;5XJS;5XJT;5XJU;5YZG;5Z56;5Z57;5Z58;6AH0;6FF7;6ICZ;6ID0;6ID1;6QDV;6QW6;6QX9;6V4X;6Y53;6Y5Q;7A5P;7ABG;7ABI;7B0Y;7DVQ;7EVO;7QTT;7VPX;7W59;7W5A;7W5B;8C6J;8CH6;8H6E;8H6J;8H6K;8H6L;8HK1;8I0P;8I0R;8I0S;8I0T;8I0U;8I0V;8I0W;8Q7Q;8Q7V;8Q7W;8Q7X;8Q91;8QO9;8QXD;8QZS;8R08;8R09;8R0A;8R0B;8RC0;8RM5;8RO2;8Y6O;8Y7E;9FMD;		SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:18984161}. Nucleus {ECO:0000269|PubMed:11574479, ECO:0000269|PubMed:11991638, ECO:0000269|PubMed:23246290, ECO:0000269|PubMed:26912367, ECO:0000269|PubMed:28076346, ECO:0000269|PubMed:28502770, ECO:0000269|PubMed:28781166}. Note=SMN-mediated assembly into core snRNPs occurs in the cytosol before SMN-mediated transport to the nucleus to be included in spliceosomes. {ECO:0000305}.
P78524	reviewed	DEN2B_HUMAN	DENN domain-containing protein 2B (HeLa tumor suppression 1) (Suppression of tumorigenicity 5 protein)	DENND2B HTS1 ST5	Homo sapiens (Human)	1137	TISSUE SPECIFICITY: Widely expressed with the exception of peripheral blood lymphocytes. Isoform 1 is expressed in several epithelial and fibroblast (including tumorigenic) but absent in lymphoid cell lines (at protein level). Isoform 3 is expressed in primary cell or weakly tumorigenic but not in tumorigenic cell lines (at protein level). {ECO:0000269|PubMed:10229203}.			SUBCELLULAR LOCATION: [Isoform 1]: Cytoplasm, cell cortex {ECO:0000269|PubMed:29030480}. Cell membrane {ECO:0000269|PubMed:29030480}. Recycling endosome {ECO:0000269|PubMed:29030480}. Note=Colocalizes with RAB13 and ITSN1 at cytoplasmic vesicles that are most likely recycling endosomes. Colocalizes with the cortical actin cytoskeleton. {ECO:0000269|PubMed:29030480}.
P78540	reviewed	ARGI2_HUMAN	Arginase-2, mitochondrial (EC 3.5.3.1) (Arginase II) (Kidney-type arginase) (Non-hepatic arginase) (Type II arginase)	ARG2	Homo sapiens (Human)	354	TISSUE SPECIFICITY: Expressed most strongly in kidney and prostate, much less strongly in the brain, skeletal muscle, placenta, lung, mammary gland, macrophage, uterus, testis and gut, but apparently not in the liver, heart and pancreas. Expressed in activated T cells (PubMed:27745970). {ECO:0000269|PubMed:27745970}.	1PQ3;4HZE;4I06;4IE2;4IE3;4IXU;4IXV;6Q37;6Q39;6SS2;6SS4;6SS6;8RFA;8RG6;8RGF;8RGU;8RIM;9FRV;		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:8898077}.
P81605	reviewed	DCD_HUMAN	Dermcidin (EC 3.4.-.-) (Preproteolysin) [Cleaved into: Survival-promoting peptide; DCD-1]	DCD AIDD DSEP	Homo sapiens (Human)	110	TISSUE SPECIFICITY: Detected in urine (at protein level) (PubMed:25326458, PubMed:36213313, PubMed:37453717). Constitutively expressed in eccrine sweat gland cells (at protein level). Secreted into the sweat at a concentration of 1-10 micrograms/ml. {ECO:0000269|PubMed:11694882, ECO:0000269|PubMed:25326458, ECO:0000269|PubMed:36213313, ECO:0000269|PubMed:37453717}.	2KSG;2NDK;2YMK;6SHK;	TRANSMEM 64..108; /note="Helical"; /evidence="ECO:0000305|PubMed:23426625"	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:11694882, ECO:0000269|PubMed:15340161, ECO:0000269|PubMed:25326458, ECO:0000269|PubMed:25946035, ECO:0000269|PubMed:36213313, ECO:0000269|PubMed:37453717, ECO:0000269|PubMed:9736629}.; SUBCELLULAR LOCATION: [Survival-promoting peptide]: Secreted {ECO:0000269|PubMed:9736629}.; SUBCELLULAR LOCATION: [DCD-1]: Secreted {ECO:0000305|PubMed:23426625}. Membrane {ECO:0000269|PubMed:23426625}; Peripheral membrane protein {ECO:0000269|PubMed:23426625}. Membrane {ECO:0000269|PubMed:23426625}; Single-pass membrane protein {ECO:0000269|PubMed:23426625}. Note=The secreted peptide assembles into homohexameric complexes that can probably associate with pathogen membranes and also insert into these membranes where they behave as channels. {ECO:0000269|PubMed:23426625}.
Q04695	reviewed	K1C17_HUMAN	Keratin, type I cytoskeletal 17 (39.1) (Cytokeratin-17) (CK-17) (Keratin-17) (K17)	KRT17	Homo sapiens (Human)	432	TISSUE SPECIFICITY: Expressed in the outer root sheath and medulla region of hair follicle specifically from eyebrow and beard, digital pulp, nail matrix and nail bed epithelium, mucosal stratified squamous epithelia and in basal cells of oral epithelium, palmoplantar epidermis and sweat and mammary glands. Also expressed in myoepithelium of prostate, basal layer of urinary bladder, cambial cells of sebaceous gland and in exocervix (at protein level). {ECO:0000269|PubMed:10651700, ECO:0000269|PubMed:10844551, ECO:0000269|PubMed:1281771, ECO:0000269|PubMed:2481679}.			SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q9QWL7}.
